income_level,employment_type,credit_score,existing_loans,property_owner,loan_approved
high,salaried,average,many,yes,yes
low,self_employed,poor,none,no,no
high,salaried,poor,few,no,no
medium,salaried,average,few,yes,yes
high,salaried,average,few,yes,yes
medium,salaried,average,none,no,yes
medium,salaried,poor,few,yes,no
medium,self_employed,average,few,no,no
low,self_employed,poor,none,no,no
medium,unemployed,average,none,yes,yes
medium,unemployed,poor,few,no,no
low,self_employed,average,few,no,no
high,self_employed,average,none,no,yes
medium,salaried,average,many,yes,yes
high,salaried,poor,none,yes,yes
medium,salaried,good,many,no,yes
medium,unemployed,poor,none,yes,no
medium,unemployed,average,few,yes,no
medium,self_employed,average,few,no,no
high,self_employed,poor,many,yes,yes
high,salaried,poor,few,yes,yes
low,unemployed,average,few,no,no
high,unemployed,average,few,no,no
high,salaried,good,none,no,yes
medium,salaried,good,many,yes,yes
low,unemployed,good,many,no,no
low,salaried,average,few,yes,no
high,unemployed,average,few,yes,yes
high,self_employed,good,few,no,yes
high,self_employed,good,none,yes,yes
high,self_employed,poor,none,yes,yes
low,salaried,average,none,yes,yes
medium,salaried,good,few,yes,yes
low,salaried,good,few,yes,yes
low,salaried,good,none,no,yes
low,salaried,good,none,no,yes
high,unemployed,good,few,no,yes
low,self_employed,poor,few,no,no
low,salaried,poor,few,yes,no
high,salaried,poor,many,no,no
medium,salaried,average,few,yes,yes
medium,self_employed,good,few,no,yes
low,salaried,poor,few,no,no
high,salaried,poor,few,yes,yes
low,self_employed,good,few,no,no
low,salaried,average,many,yes,no
low,salaried,average,few,no,no
high,self_employed,poor,few,yes,yes
medium,self_employed,good,few,yes,yes
medium,salaried,good,few,yes,yes
medium,unemployed,poor,few,no,no
low,self_employed,poor,many,no,no
medium,unemployed,good,many,yes,yes
low,salaried,average,few,yes,no
low,salaried,good,many,yes,yes
medium,salaried,average,none,no,yes
high,salaried,average,many,yes,yes
low,salaried,poor,many,no,no
high,self_employed,good,none,no,yes
medium,salaried,good,few,yes,yes
high,salaried,good,few,no,yes
high,salaried,average,none,yes,yes
high,unemployed,average,few,no,no
low,self_employed,poor,few,no,no
medium,salaried,average,few,no,no
low,salaried,average,few,no,no
low,self_employed,average,none,no,no
medium,self_employed,good,few,no,yes
high,salaried,average,few,no,yes
low,unemployed,poor,many,yes,no
medium,self_employed,average,few,yes,yes
low,salaried,poor,none,no,no
medium,salaried,average,none,yes,yes
high,self_employed,average,many,no,yes
medium,self_employed,poor,many,no,no
medium,unemployed,good,few,yes,yes
high,salaried,average,few,no,yes
high,salaried,poor,none,no,yes
medium,salaried,good,few,yes,yes
low,self_employed,average,few,no,no
medium,unemployed,good,none,yes,yes
low,salaried,average,none,no,no
medium,self_employed,average,many,yes,yes
high,salaried,poor,few,no,no
medium,unemployed,poor,many,no,no
medium,self_employed,average,few,yes,yes
low,salaried,poor,none,yes,no
low,unemployed,average,many,no,no
low,salaried,average,none,yes,yes
high,self_employed,average,none,yes,yes
high,self_employed,average,many,yes,yes
high,salaried,poor,few,yes,yes
high,salaried,poor,few,yes,yes
medium,self_employed,average,none,yes,yes
medium,salaried,average,few,no,no
low,self_employed,average,many,yes,no
low,salaried,average,few,no,no
medium,self_employed,average,none,yes,yes
high,self_employed,average,few,yes,yes
medium,salaried,good,none,yes,yes
high,self_employed,poor,none,yes,yes
low,salaried,good,many,no,no
high,salaried,average,few,yes,yes
high,salaried,poor,few,no,no
high,unemployed,good,few,no,yes
high,salaried,poor,few,yes,yes
low,self_employed,poor,few,yes,no
medium,self_employed,average,many,no,no
low,self_employed,poor,none,yes,no
low,salaried,poor,many,no,no
high,unemployed,poor,none,yes,yes
high,self_employed,poor,few,yes,yes
medium,unemployed,poor,none,no,no
medium,salaried,average,few,no,no
low,salaried,good,few,no,no
high,salaried,good,none,no,yes
medium,salaried,average,none,no,yes
medium,salaried,poor,many,no,no
low,unemployed,poor,none,yes,no
medium,self_employed,average,few,yes,yes
high,salaried,poor,few,yes,yes
high,salaried,average,none,yes,yes
high,self_employed,good,none,no,yes
medium,salaried,average,none,yes,yes
high,salaried,poor,many,no,no
medium,self_employed,poor,few,yes,no
high,unemployed,average,none,yes,yes
medium,salaried,good,many,yes,yes
high,self_employed,good,none,no,yes
high,unemployed,good,none,yes,yes
high,salaried,average,few,yes,yes
medium,self_employed,average,many,no,no
high,self_employed,average,few,no,yes
medium,salaried,average,few,yes,yes
medium,salaried,good,none,no,yes
medium,salaried,good,few,yes,yes
low,salaried,good,many,no,no
high,salaried,average,none,yes,yes
medium,salaried,good,none,yes,yes
high,unemployed,poor,none,no,no
low,unemployed,good,many,no,no
medium,unemployed,good,few,yes,yes
medium,self_employed,good,many,yes,yes
low,self_employed,average,none,no,no
high,salaried,average,none,no,yes
low,salaried,good,few,no,no
low,self_employed,poor,none,no,no
medium,salaried,poor,few,no,no
high,self_employed,poor,few,no,no
low,self_employed,poor,few,yes,no
medium,unemployed,good,few,no,no
low,unemployed,good,none,no,no
medium,salaried,good,few,yes,yes
medium,unemployed,poor,many,no,no
medium,salaried,good,few,no,yes
