age,income,hours_studied,previous_score,sleep_hours,pass_exam
56,24621,6,74,5.506326303800002,1
46,35034,9,63,6.9917874214887945,1
32,25126,9,56,5.4861890385430865,1
25,25122,4,44,5.499595557534923,0
38,38030,6,59,7.715965993658017,1
56,102838,1,60,4.240714179891767,0
36,104717,3,79,8.514474975959935,1
40,75658,1,97,8.261319371955906,1
28,58638,6,70,7.339023416132033,1
28,87067,1,85,6.966107850536922,0
41,108869,0,75,8.461512490698262,0
53,54674,8,50,4.926650897643572,1
57,55854,0,91,4.394845810954143,0
41,66271,7,54,5.1975508495476905,1
20,93688,1,58,7.9728913935009516,0
39,58518,7,46,4.173351333632416,1
19,30267,2,90,6.914034175417449,0
41,110825,5,67,8.97718758095655,1
47,21062,2,90,8.278480469187697,1
55,70448,6,82,6.607228445217947,1
19,115462,9,97,4.318204546433211,1
38,26229,8,44,8.156867571928549,1
50,76793,1,44,6.9948925408860525,0
29,67915,4,69,4.574664985297834,0
39,24632,5,93,4.469286424116781,1
42,23596,3,71,8.548134097182963,0
44,26168,3,47,7.346001314690392,0
59,27561,3,49,8.146433996583777,0
45,93794,1,77,8.394894501411336,1
33,102152,3,86,6.858861760241611,1
32,46734,0,71,6.587231758775206,0
20,26371,5,87,6.152137051604951,1
54,46069,0,67,5.584732938955597,0
24,99905,9,56,6.172979804293559,1
38,32910,5,70,7.869398278650782,1
26,93479,0,47,7.009617155075658,0
56,97735,5,79,8.46261644977423,1
35,101264,9,64,6.216900071895939,1
21,43275,7,48,7.03544789359377,1
42,92274,1,41,7.156537765459944,0
31,101449,1,54,6.958485811531627,0
26,80004,3,89,7.5131688654275814,1
43,82981,2,42,5.187167341874032,0
19,104659,3,88,6.561818887728953,1
37,74553,6,75,4.521124014041739,1
45,68447,0,43,5.922556638224062,0
24,54529,5,53,6.438335343106322,0
25,95703,2,80,7.261121297727362,1
52,96090,9,80,8.752655262931018,1
31,37260,6,64,7.003255332741779,1
34,23812,9,97,7.717969580882799,1
53,48024,1,94,6.531330297476014,0
57,78656,1,89,7.170520156881657,1
21,47285,3,49,4.354661080668867,0
19,112436,0,60,5.271957904209235,0
23,21605,2,75,5.8092654660256935,0
59,91158,8,51,6.362466775032567,1
21,92303,6,66,4.228243727511918,1
46,47139,6,79,4.700120487766588,1
35,97149,3,41,5.384071538956529,0
43,76138,1,93,8.857663454505253,1
51,96125,3,52,5.656735035515254,0
27,33918,5,92,6.4102052905604125,1
53,105655,2,71,4.9804885636919645,0
31,47446,0,70,7.0539003553788415,0
48,33046,7,55,5.403416077579871,1
32,44818,4,71,5.034962892192134,0
25,24324,4,71,6.582863142229895,0
31,96323,3,99,4.027528995802104,1
40,29111,5,73,4.0383201632461265,0
57,58110,2,50,5.095344045509289,0
38,36389,8,49,4.183606812504106,1
33,61427,4,54,4.540128770653457,0
35,99579,2,56,5.694303246693758,0
41,48746,0,79,8.012928397899064,0
43,107886,9,57,6.860243216846504,1
42,20117,5,94,6.563338629782082,1
58,104471,1,48,5.467444116040609,0
46,33234,2,64,8.658768597164082,0
32,73441,0,79,5.985075206185958,0
18,20846,8,98,4.435463833978858,1
42,30954,7,53,7.085332580589006,1
24,99239,1,99,4.5691919673830075,0
26,66514,7,97,5.72611571400846,1
41,108236,8,64,6.537059693589044,1
18,117579,0,89,8.37111262342588,0
25,26469,4,61,6.467732901700593,0
41,50105,7,91,7.511293830158321,1
28,62101,1,69,8.964084194995351,0
34,84323,3,59,4.657445599489908,0
25,111922,6,60,5.373657627597598,1
52,78067,2,83,5.972880377988232,1
52,69376,4,71,6.109140892694157,1
50,65587,7,90,6.055105376327729,1
22,56976,9,85,8.538055012782774,1
59,87584,2,88,7.570163222334282,1
56,98477,3,95,7.039526070453519,1
58,62533,8,60,5.546863589313911,1
45,21828,6,74,8.118951921106474,1
24,21917,0,97,8.775302557424943,0
26,40618,3,71,8.105991412751132,0
25,52254,3,69,4.007825525957364,0
29,67362,8,94,7.182006850917035,1
51,40128,5,78,4.255676907210503,1
